perturbation,beta_0,beta_1,beta_2,beta_3,A_site,n,mean_f_LST,mean_sigma_conf,mean_abs_delta_res,in_AD_fraction,holdout_R2
baseline,-2.0,3.0,2.0,2.0,Pb,83,2.2797,0.1284,0.1716,0.9759,0.9356
baseline,-2.0,3.0,2.0,2.0,Ca,344,1.7188,0.1671,0.0976,0.9128,0.9356
baseline,-2.0,3.0,2.0,2.0,La,121,1.1883,0.1679,0.0497,0.9174,0.9356
baseline,-2.0,3.0,2.0,2.0,Sr,159,0.9745,0.2635,0.0445,0.7547,0.9356
baseline,-2.0,3.0,2.0,2.0,Ba,368,0.6774,0.2767,0.06,0.7283,0.9356
b0_low,-1.0,3.0,2.0,2.0,Pb,83,2.2653,0.2801,0.4947,0.9759,0.9317
b0_low,-1.0,3.0,2.0,2.0,Ca,344,1.7085,0.3185,0.2783,0.9128,0.9317
b0_low,-1.0,3.0,2.0,2.0,La,121,1.184,0.3183,0.1124,0.9174,0.9317
b0_low,-1.0,3.0,2.0,2.0,Sr,159,0.9824,0.4153,0.105,0.7547,0.9317
b0_low,-1.0,3.0,2.0,2.0,Ba,368,0.6809,0.4295,0.1128,0.7283,0.9317
b0_high,-3.0,3.0,2.0,2.0,Pb,83,2.2774,0.0528,0.1085,1.0,0.9338
b0_high,-3.0,3.0,2.0,2.0,Ca,344,1.72,0.0824,0.0613,0.9419,0.9338
b0_high,-3.0,3.0,2.0,2.0,La,121,1.1971,0.0829,0.036,0.9256,0.9338
b0_high,-3.0,3.0,2.0,2.0,Sr,159,0.9825,0.1526,0.0589,0.7799,0.9338
b0_high,-3.0,3.0,2.0,2.0,Ba,368,0.6807,0.1616,0.0598,0.7663,0.9338
b1_low,-2.0,1.5,2.0,2.0,Pb,83,2.265,0.1284,0.488,0.9759,0.9325
b1_low,-2.0,1.5,2.0,2.0,Ca,344,1.7168,0.1479,0.236,0.9128,0.9325
b1_low,-2.0,1.5,2.0,2.0,La,121,1.2011,0.1416,0.1287,0.9174,0.9325
b1_low,-2.0,1.5,2.0,2.0,Sr,159,0.9925,0.1856,0.1081,0.7547,0.9325
b1_low,-2.0,1.5,2.0,2.0,Ba,368,0.6804,0.1941,0.1183,0.7283,0.9325
b1_high,-2.0,4.5,2.0,2.0,Pb,83,2.2815,0.1284,0.1001,0.9759,0.9299
b1_high,-2.0,4.5,2.0,2.0,Ca,344,1.7154,0.1774,0.0679,0.9128,0.9299
b1_high,-2.0,4.5,2.0,2.0,La,121,1.1896,0.1822,0.0364,0.9174,0.9299
b1_high,-2.0,4.5,2.0,2.0,Sr,159,0.9787,0.306,0.0364,0.7547,0.9299
b1_high,-2.0,4.5,2.0,2.0,Ba,368,0.6825,0.3218,0.046,0.7283,0.9299
b2_low,-2.0,3.0,1.0,2.0,Pb,83,2.2797,0.1284,0.1716,0.9759,0.9356
b2_low,-2.0,3.0,1.0,2.0,Ca,344,1.7188,0.1671,0.0976,0.9128,0.9356
b2_low,-2.0,3.0,1.0,2.0,La,121,1.1883,0.1679,0.0497,0.9174,0.9356
b2_low,-2.0,3.0,1.0,2.0,Sr,159,0.9745,0.2635,0.0445,0.7547,0.9356
b2_low,-2.0,3.0,1.0,2.0,Ba,368,0.6774,0.2767,0.06,0.7283,0.9356
b2_high,-2.0,3.0,3.0,2.0,Pb,83,2.2797,0.1284,0.1716,0.9759,0.9356
b2_high,-2.0,3.0,3.0,2.0,Ca,344,1.7188,0.1671,0.0976,0.9128,0.9356
b2_high,-2.0,3.0,3.0,2.0,La,121,1.1883,0.1679,0.0497,0.9174,0.9356
b2_high,-2.0,3.0,3.0,2.0,Sr,159,0.9745,0.2635,0.0445,0.7547,0.9356
b2_high,-2.0,3.0,3.0,2.0,Ba,368,0.6774,0.2767,0.06,0.7283,0.9356
b3_low,-2.0,3.0,2.0,1.0,Pb,83,2.2781,0.1228,0.1664,1.0,0.9349
b3_low,-2.0,3.0,2.0,1.0,Ca,344,1.7189,0.16,0.0948,0.9419,0.9349
b3_low,-2.0,3.0,2.0,1.0,La,121,1.1914,0.166,0.0441,0.9256,0.9349
b3_low,-2.0,3.0,2.0,1.0,Sr,159,0.9798,0.2577,0.0367,0.7799,0.9349
b3_low,-2.0,3.0,2.0,1.0,Ba,368,0.6835,0.2679,0.0519,0.7663,0.9349
b3_high,-2.0,3.0,2.0,3.0,Pb,83,2.278,0.1339,0.1279,0.9759,0.9357
b3_high,-2.0,3.0,2.0,3.0,Ca,344,1.7151,0.174,0.0819,0.9128,0.9357
b3_high,-2.0,3.0,2.0,3.0,La,121,1.1998,0.1698,0.0497,0.9174,0.9357
b3_high,-2.0,3.0,2.0,3.0,Sr,159,0.9791,0.2693,0.0464,0.7547,0.9357
b3_high,-2.0,3.0,2.0,3.0,Ba,368,0.6769,0.2855,0.0685,0.7283,0.9357
