formula,sintering_temp_C,sintering_time_h,sintering_time_missing,crystal_system,phase_transition,epsilon_r
Ca0.8Sr0.2SnO3,1540,4.0,0,orthorhombic,0,8.5
Ca1Ti0.53Al0.235Nb0.235O3,1500,5.0,0,orthorhombic,0,49.8
Ca1Ti0.5Al0.25Nb0.25O3,1500,5.0,0,orthorhombic,0,48.0
Ca1Ti0.4Al0.3Nb0.3O3,1500,5.0,0,orthorhombic,0,41.3
Ca1Ti0.3Al0.35Nb0.35O3,1500,5.0,0,orthorhombic,0,36.8
Ca1Ti0.7Al0.15Nb0.15O3,1450,5.0,0,orthorhombic,0,65.4
Ca1Ti0.6Al0.2Nb0.2O3,1450,5.0,0,orthorhombic,0,54.3
Ca1Ti0.53Al0.235Nb0.235O3,1450,5.0,0,orthorhombic,0,48.5
Ca1Ti0.5Al0.25Nb0.25O3,1450,5.0,0,orthorhombic,0,48.1
Ca1Ti0.4Al0.3Nb0.3O3,1450,5.0,0,orthorhombic,0,41.2
Ca1Ti0.3Al0.35Nb0.35O3,1450,5.0,0,orthorhombic,0,36.4
Ca1Ti0.7Al0.15Nb0.15O3,1300,5.0,0,orthorhombic,0,69.0
Ca1Ti0.6Al0.2Nb0.2O3,1300,5.0,0,orthorhombic,0,56.6
Ca1Ti0.53Al0.235Nb0.235O3,1300,5.0,0,orthorhombic,0,49.4
Ca1Ti0.5Al0.25Nb0.25O3,1300,5.0,0,orthorhombic,0,48.0
Ca1Ti0.4Al0.3Nb0.3O3,1300,5.0,0,orthorhombic,0,41.1
Ca1Ti0.3Al0.35Nb0.35O3,1300,5.0,0,orthorhombic,0,36.4
Sm0.6Ca0.4Co0.3Ti0.7O3,1420,4.0,0,cubic,1,37.0
Ca0.6Sr0.4Al0.3Nb0.3Ti0.4O3,1500,4.0,0,orthorhombic,0,37.2
Ca4.9Zn0.1Nb4TiO17,1360,4.0,0,monoclinic,0,40.3
Ca4.8Zn0.2Nb4TiO17,1340,4.0,0,monoclinic,0,37.9
Ca4.7Zn0.3Nb4TiO17,1300,4.0,0,monoclinic,0,45.8
Ca4.6Zn0.4Nb4TiO17,1260,4.0,0,monoclinic,0,52.0
Ca1Ti0.6Al0.2Nb0.2O3,1500,5.0,0,orthorhombic,0,55.7
Ca1Ti0.7Al0.15Nb0.15O3,1500,5.0,0,orthorhombic,0,67.8
SrLa3Ti2NbO12,1480,6.0,0,hexagonal,0,41.0
Sr2La2TiNb2O12,1450,6.0,0,hexagonal,0,39.0
Ba2Sr1LaNb3O12,1400,4.0,1,hexagonal,0,39.5
Ba1.5Sr1.5LaNb3O12,1405,4.0,1,hexagonal,0,38.95
Ba1Sr2LaNb3O12,1415,4.0,1,hexagonal,0,37.1
Sr3LaNb3O12,1430,4.0,1,hexagonal,0,35.8
Ba1La0.5Nb0.5O3,1575–1600,4.0,0,tetragonal,0,45.0
Ba1Pr0.5Nb0.5O3,1575–1600,4.0,0,tetragonal,0,44.5
Ba1Nd0.5Nb0.5O3,1575–1600,4.0,0,orthorhombic,0,44.0
Ba1Sm0.5Nb0.5O3,1575–1600,4.0,0,orthorhombic,0,43.0
Ba1Eu0.5Nb0.5O3,1575–1600,4.0,0,orthorhombic,0,40.0
Ba1Gd0.5Nb0.5O3,1575–1600,4.0,0,orthorhombic,0,40.0
Ba1Tb0.5Nb0.5O3,1575–1600,4.0,0,monoclinic,0,39.0
Ba1Dy0.5Nb0.5O3,1575–1600,4.0,0,monoclinic,0,38.9
Ba1Y0.5Nb0.5O3,1575–1600,4.0,0,cubic,0,37.0
Ba1Yb0.5Nb0.5O3,1575–1600,4.0,0,cubic,0,36.0
Ba8Ta4Ti3O23.5,1400,40.0,0,hexagonal,0,40.0
Ba8Ta4.32Ti2.6O23.54,1400,40.0,0,hexagonal,0,36.0
Ba8Ta4.64Ti2.2O23.58,1400,40.0,0,hexagonal,0,44.0
Ba10Ta7.04Ti1.2O29.88,1400,40.0,0,hexagonal,0,35.0
Ba10Ta7.28Ti0.9O29.91,1400,40.0,0,hexagonal,0,35.0
Ba10Ta7.52Ti0.6O29.94,1400,40.0,0,hexagonal,0,34.0
Ba5Ta4O15,1400,40.0,0,trigonal,0,28.0
Ba5Sr2Ta4ZrO21,1400,40.0,0,trigonal,0,27.0
Sr3LaNb3O12,1430,6.0,0,hexagonal,0,36.0
Ba1Ho0.5Nb0.5O3,1575–1600,4.0,0,monoclinic,0,38.0
Ca1Ti0.70Al0.15Ta0.15O3,1500,15.0,0,orthorhombic,0,65.4
Ca1Ti0.60Al0.20Ta0.20O3,1500,3.0,0,orthorhombic,0,52.2
Ca1Ti0.60Al0.20Ta0.20O3,1500,5.0,0,orthorhombic,0,52.3
Ca1Ti0.60Al0.20Ta0.20O3,1500,10.0,0,orthorhombic,0,52.4
Ca1Ti0.60Al0.20Ta0.20O3,1500,15.0,0,orthorhombic,0,52.0
Ca1Ti0.54Al0.23Ta0.23O3,1500,3.0,0,orthorhombic,0,46.6
Ca1Ti0.54Al0.23Ta0.23O3,1500,5.0,0,orthorhombic,0,46.7
Ca1Ti0.54Al0.23Ta0.23O3,1500,10.0,0,orthorhombic,0,46.8
Ca1Ti0.54Al0.23Ta0.23O3,1500,15.0,0,orthorhombic,0,46.5
Ca1Ti0.50Al0.25Ta0.25O3,1500,3.0,0,orthorhombic,0,41.4
Ca1Ti0.70Al0.15Ta0.15O3,1500,10.0,0,orthorhombic,0,65.7
Ca1Ti0.50Al0.25Ta0.25O3,1500,10.0,0,orthorhombic,0,41.5
