split,DC,regime_Ia,continuous_tilt_strain,cs_monoclinic,chi_B,covalency_ratio,bond_angle_variance_proxy,cs_orthorhombic,T_sint_x_r_cov,cs_hexagonal,is_Sr,ST_time,d0_per_field,regime_II,ab_pol_diff,ptype_simple,a_site_variance,b_config_entropy,b_size_mismatch,ptype_re_b_site,cs_cubic,phase_boundary_dist_ib_ii,b_o_reduced_mass,alpha_A,Ba_x_T_sint_r_cov,GII,sigma_CM,symmetry_score,octahedral_factor,tolerance_factor,ST_time_missing,r_A_avg,cs_rhombohedral,lst_enhancement_proxy,cm_approx_flag,weighted_SOJT,is_RE,n_A_elements,n_B_elements,r_A_r_B_ratio,r_cov,chi_A,ST_time_x_phase,is_Ca,alpha_B,a_field_strength,regime_Ib,has_additive,d0_B_fraction,tol_sq_dev,phase_boundary_min_dist,RE_x_chi_A,phillips_ionicity_bo,phase_transition,er_CM,b_per_a,tBV,alpha_total,charge_imbalance_proxy,b_site_ratio,has_sigma_CM,Ca_x_tol_factor,soft_mode_proxy,phase_boundary_dist_ii_iii,phillips_covalency_bo,phase_boundary_instability,octahedral_volume,a_off_centering_frac,delta_chi_B,bvs_strain_proxy,T_calc_x_r_cov,cs_perovskite,a_pc,additive_pct,soft_mode_tolerance_weighted,covalency_index,Di,a_config_entropy,b_field_strength,r_B_avg,ordering_proxy,cs_trigonal,is_Ba,b_avg_atomic_mass,delta_chi_A,regime_III,regime_boundary_crossing,o_per_cation,Sr_x_alpha_B,molar_mass,num_cations,polarizable_A_fraction,BVVS,ptype_complex_b,d0_B_polarizable_A,ptype_double,density_calc,cs_tetragonal,ST_norm_melt,tilt_severity,soft_mode_activity,formula,chemistry_family,d10_B_fraction,RE_B_fraction,has_d10_B
train,8.5,0.0,0.0,0,1.96,0.6040816326530611,0.0021607688038370017,1,2454.76,0,0.0,4.0,0.0,0.0,0.5460000000000003,1.0,0.001599999999999996,-0.0,0.0,0.0,0,0.051213054509630984,14.098844843328953,3.3760000000000003,0.0,0.8825181,0.44813941088977227,0.933786945490369,0.4928571428571428,0.933786945490369,0.0,1.36,0,0.0,0.0,0.0,0.0,2,1,1.9710144927536235,1.594,0.99,0.0,1.0,2.83,1.083968287363624,0.0,0,0.0,0.004384168587495366,0.031213054509630966,0.0,0.4216638471290559,0.0,17.700440376508343,1.0,0.9153239,12.236,0.0,1.0,1.0,0.933786945490369,0.0,0.031213054509630966,0.5783361528709441,0.04409956101165613,9.129328999999998,0.0,1.48,0.25677170950585415,0.0,0,3.9248399999999997,0,0.0,0.5697674418604651,0.0,0.5004024235381879,8.401596303297628,0.69,-0.0,0,0.0,118.71,2.45,1.0,0.0,1.5,0.0,216.29340000000002,3.0,0.2,-1.6510624,0.0,0.0,0.0,5.940408030003638,0,2.8205128205128207,0.066213054509631,0.0,Ca0.8Sr0.2SnO3,Ca_Sr,1.0,0.0,1.0
train,49.8,0.0,0.0,0,1.57055,0.7661680327868853,0.00037598381534843187,1,2458.3125,0,0.0,5.0,0.06877205861041473,1.0,0.7070499999999997,0.0,0.0,1.0171252738649135,0.001371724374999999,0.0,0,0.014699099572490493,12.318241585575606,3.16,0.0,0.47406596,0.7157927142629106,0.9703009004275095,0.4262678571428572,0.9703009004275095,0.0,1.34,0,0.17213171094833013,0.0,0.671,0.0,1,3,2.245402371077877,1.638875,1.0,0.0,1.0,2.4529500000000004,1.1138338159946535,0.0,0,0.765,0.0008820365154167057,0.005300900427509525,0.0,0.5826002259326999,0.0,21.911745290174107,1.0,0.9541386,11.642949999999999,0.0,1.0,1.0,0.9703009004275095,0.0,0.005300900427509525,0.4173997740673001,0.5885519724537048,7.961362370207984,0.0,1.86945,0.17583929189872216,0.0,0,3.8205053,0,0.6510719041868589,0.45655523255813946,0.27313343,-0.0,11.123703658976257,0.5967749999999999,1.1301391931832372,0,0.0,53.543189999999996,2.44,0.0,1.0,1.5,0.0,141.61818999999997,4.0,0.0,-0.9224669,1.0,0.0,0.0,4.21692133875127,0,1.1700536469597131,0.029699099572490506,2.1203600000000002,CaTi0.53Al0.235Nb0.235O3,Ca_Ti,0.0,0.0,0.0
train,48.0,0.0,0.0,0,1.5725000000000002,0.7653688524590163,0.00036922536587849654,1,2454.375,0,0.0,5.0,0.06734803941145333,1.0,0.7374999999999998,0.0,0.0,1.0397207708399179,0.0014546874999999992,0.0,0,0.014443917119028038,12.337318691929706,3.16,0.0,0.47277692,0.6944638198035067,0.970556082880972,0.42589285714285713,0.970556082880972,0.0,1.34,0,0.16648674248348608,0.0,0.65,0.0,1,3,2.247379454926625,1.63625,1.0,0.0,1.0,2.4225000000000003,1.1138338159946535,0.0,0,0.75,0.0008669442553121932,0.00555608288097198,0.0,0.5818391293575784,0.0,21.548076252773015,1.0,0.9546381,11.612499999999999,0.0,1.0,1.0,0.970556082880972,0.0,0.00555608288097198,0.4181608706424216,0.5737231660589913,7.955084322265623,0.0,1.8674999999999997,0.1750351502820633,0.0,0,3.819995,0,0.6308614538726318,0.4571220930232559,0.27313343,-0.0,11.136181640240201,0.5962500000000001,1.1552453009332422,0,0.0,53.9055,2.44,0.0,1.0,1.5,0.0,141.9805,4.0,0.0,-0.9197077,1.0,0.0,0.0,4.229404254293885,0,1.173823730803091,0.02944391711902805,2.0540000000000003,CaTi0.5Al0.25Nb0.25O3,Ca_Ti,0.0,0.0,0.0
train,41.3,0.0,0.0,0,1.5790000000000002,0.7627049180327868,0.0003471548068021832,1,2441.25,0,0.0,5.0,0.06262427053380876,1.0,0.839,0.0,0.0,1.0888999753452238,0.001727249999999999,0.0,0,0.013592338705870954,12.399505103203108,3.16,0.0,0.468464,0.6297939862794046,0.971407661294129,0.4246428571428572,0.971407661294129,0.0,1.34,0,0.14781235095637335,0.0,0.5800000000000001,0.0,1,3,2.253994953742641,1.6275,1.0,0.0,1.0,2.321,1.1138338159946535,0.0,0,0.7,0.000817521832671247,0.006407661294129063,0.0,0.5792978803458122,0.0,20.409890352742973,1.0,0.95630723,11.511,0.0,1.0,1.0,0.971407661294129,0.0,0.006407661294129063,0.4207021196541878,0.5268886045165468,7.934181333624999,0.0,1.8609999999999998,0.17234900730575098,0.0,0,3.818294,0,0.563416443550595,0.4590116279069768,0.27313343,-0.0,11.177774911120014,0.5945,1.2098888614946932,0,0.0,55.1132,2.44,0.0,1.0,1.5,0.0,143.1882,4.0,0.0,-0.9104721,1.0,0.0,0.0,4.271083032697499,0,1.186568049677649,0.028592338705870968,1.8328000000000002,CaTi0.4Al0.3Nb0.3O3,Ca_Ti,0.0,0.0,0.0
train,36.8,0.0,0.0,0,1.5855000000000001,0.7600409836065574,0.00032578674736379216,1,2428.125,0,0.0,5.0,0.05793552626634086,1.0,0.9405000000000001,0.0,0.0,1.0960673284468552,0.001993687499999999,0.0,0,0.01273926460863617,12.459614561137393,3.16,0.0,0.46412635,0.5736746764671874,0.9722607353913638,0.4233928571428572,0.9722607353913638,0.0,1.34,0,0.1293458952596109,0.0,0.51,0.0,1,3,2.2606495149725854,1.61875,1.0,0.0,1.0,2.2195,1.1138338159946535,0.0,0,0.6499999999999999,0.0007694668010279358,0.007260735391363848,0.0,0.5767501288927717,0.0,19.373864074938787,1.0,0.9579822,11.4095,0.0,1.0,1.0,0.9722607353913638,0.0,0.007260735391363848,0.42324987110722834,0.48380490656474184,7.913314993921875,0.0,1.8544999999999998,0.16965411806092656,0.0,0,3.816593,0,0.4958529750495956,0.4609011627906977,0.27313343,-0.0,11.219368181999828,0.59275,1.2178525871631725,0,0.0,56.320899999999995,2.44,0.0,1.0,1.5,0.0,144.39589999999998,4.0,0.0,-0.901177,1.0,0.0,0.0,4.312868271628286,0,1.1995921386728512,0.027739264608636183,1.6116000000000001,CaTi0.3Al0.35Nb0.35O3,Ca_Ti,0.0,0.0,0.0
train,65.4,0.0,0.0,0,1.5594999999999999,0.7706967213114755,0.00041548182327684274,1,2397.9374999999995,0,0.0,5.0,0.07690223260090356,1.0,0.5345,0.0,0.0,0.818808456222877,0.0008911874999999994,0.0,0,0.016142602599754752,12.206269010847677,3.16,0.0,0.48132858,0.8572623645545202,0.9688573974002452,0.4283928571428572,0.9688573974002452,0.0,1.34,0,0.2045178586332528,0.0,0.7899999999999999,0.0,1,3,2.2342642767819925,1.6537499999999998,1.0,0.0,1.0,2.6255,1.1138338159946535,0.0,0,0.85,0.0009698616966862522,0.003857397400245266,0.0,0.5869018498248506,0.0,24.197955545017,1.0,0.95131737,11.8155,0.0,1.0,1.0,0.9688573974002452,0.0,0.003857397400245266,0.4130981501751494,0.6799474657648744,7.997000374984374,0.0,1.8805,0.18038131088115072,0.0,0,3.823397,0,0.7653973439461936,0.4533430232558139,0.27313343,-0.0,11.052995098480572,0.59975,0.8794609344616088,0,0.0,51.4901,2.44,0.0,1.0,1.5,0.0,139.56510000000003,4.0,0.0,-0.9380015,1.0,0.0,0.0,4.146364961420986,0,1.1108344665121712,0.031142602599754765,2.4964,CaTi0.7Al0.15Nb0.15O3,Ca_Ti,0.0,0.0,0.0
train,54.3,0.0,0.0,0,1.566,0.7680327868852459,0.00039200038972758613,1,2385.25,0,0.0,5.0,0.07210722681783648,1.0,0.6360000000000001,0.0,0.0,0.9502705392332347,0.0011759999999999993,0.0,0,0.015294003778207999,12.272945787867851,3.16,0.0,0.47706512,0.769507817417621,0.969705996221792,0.42714285714285716,0.969705996221792,0.0,1.34,0,0.18538336592744495,0.0,0.72,0.0,1,3,2.2408026755852846,1.645,1.0,0.0,1.0,2.524,1.1138338159946535,0.0,0,0.8,0.0009177266649140813,0.004705996221792019,0.0,0.5843738081636709,0.0,22.804310210641308,1.0,0.95297486,11.714,0.0,1.0,1.0,0.969705996221792,0.0,0.004705996221792019,0.4156261918363291,0.6246276153969024,7.976023991999997,0.0,1.8739999999999999,0.17771257537589524,0.0,0,3.821696,0,0.6981883172796902,0.4552325581395349,0.27313343,-0.0,11.094588369360388,0.598,1.0206609495468077,0,0.0,52.6978,2.44,0.0,1.0,1.5,0.0,140.77280000000002,4.0,0.0,-0.92888415,1.0,0.0,0.0,4.187831656800098,0,1.12263858779808,0.030294003778208012,2.2752,CaTi0.6Al0.2Nb0.2O3,Ca_Ti,0.0,0.0,0.0
train,48.5,0.0,0.0,0,1.57055,0.7661680327868853,0.00037598381534843187,1,2376.36875,0,0.0,5.0,0.06877205861041473,1.0,0.7070499999999997,0.0,0.0,1.0171252738649135,0.001371724374999999,0.0,0,0.014699099572490493,12.318241585575606,3.16,0.0,0.47406596,0.7157927142629106,0.9703009004275095,0.4262678571428572,0.9703009004275095,0.0,1.34,0,0.17213171094833013,0.0,0.671,0.0,1,3,2.245402371077877,1.638875,1.0,0.0,1.0,2.4529500000000004,1.1138338159946535,0.0,0,0.765,0.0008820365154167057,0.005300900427509525,0.0,0.5826002259326999,0.0,21.911745290174107,1.0,0.9541386,11.642949999999999,0.0,1.0,1.0,0.9703009004275095,0.0,0.005300900427509525,0.4173997740673001,0.5885519724537048,7.961362370207984,0.0,1.86945,0.17583929189872216,0.0,0,3.8205053,0,0.6510719041868589,0.45655523255813946,0.27313343,-0.0,11.123703658976257,0.5967749999999999,1.092467886743796,0,0.0,53.543189999999996,2.44,0.0,1.0,1.5,0.0,141.61818999999997,4.0,0.0,-0.9224669,1.0,0.0,0.0,4.21692133875127,0,1.1310518587277225,0.029699099572490506,2.1203600000000002,CaTi0.53Al0.235Nb0.235O3,Ca_Ti,0.0,0.0,0.0
train,48.1,0.0,0.0,0,1.5725000000000002,0.7653688524590163,0.00036922536587849654,1,2372.5625,0,0.0,5.0,0.06734803941145333,1.0,0.7374999999999998,0.0,0.0,1.0397207708399179,0.0014546874999999992,0.0,0,0.014443917119028038,12.337318691929706,3.16,0.0,0.47277692,0.6944638198035067,0.970556082880972,0.42589285714285713,0.970556082880972,0.0,1.34,0,0.16648674248348608,0.0,0.65,0.0,1,3,2.247379454926625,1.63625,1.0,0.0,1.0,2.4225000000000003,1.1138338159946535,0.0,0,0.75,0.0008669442553121932,0.00555608288097198,0.0,0.5818391293575784,0.0,21.548076252773015,1.0,0.9546381,11.612499999999999,0.0,1.0,1.0,0.970556082880972,0.0,0.00555608288097198,0.4181608706424216,0.5737231660589913,7.955084322265623,0.0,1.8674999999999997,0.1750351502820633,0.0,0,3.819995,0,0.6308614538726318,0.4571220930232559,0.27313343,-0.0,11.136181640240201,0.5962500000000001,1.1167371242354676,0,0.0,53.9055,2.44,0.0,1.0,1.5,0.0,141.9805,4.0,0.0,-0.9197077,1.0,0.0,0.0,4.229404254293885,0,1.1346962731096546,0.02944391711902805,2.0540000000000003,CaTi0.5Al0.25Nb0.25O3,Ca_Ti,0.0,0.0,0.0
train,41.2,0.0,0.0,0,1.5790000000000002,0.7627049180327868,0.0003471548068021832,1,2359.875,0,0.0,5.0,0.06262427053380876,1.0,0.839,0.0,0.0,1.0888999753452238,0.001727249999999999,0.0,0,0.013592338705870954,12.399505103203108,3.16,0.0,0.468464,0.6297939862794046,0.971407661294129,0.4246428571428572,0.971407661294129,0.0,1.34,0,0.14781235095637335,0.0,0.5800000000000001,0.0,1,3,2.253994953742641,1.6275,1.0,0.0,1.0,2.321,1.1138338159946535,0.0,0,0.7,0.000817521832671247,0.006407661294129063,0.0,0.5792978803458122,0.0,20.409890352742973,1.0,0.95630723,11.511,0.0,1.0,1.0,0.971407661294129,0.0,0.006407661294129063,0.4207021196541878,0.5268886045165468,7.934181333624999,0.0,1.8609999999999998,0.17234900730575098,0.0,0,3.818294,0,0.563416443550595,0.4590116279069768,0.27313343,-0.0,11.177774911120014,0.5945,1.1695592327782034,0,0.0,55.1132,2.44,0.0,1.0,1.5,0.0,143.1882,4.0,0.0,-0.9104721,1.0,0.0,0.0,4.271083032697499,0,1.1470157813550605,0.028592338705870968,1.8328000000000002,CaTi0.4Al0.3Nb0.3O3,Ca_Ti,0.0,0.0,0.0
