idx,formula,regime,a_site,is_train,is_holdout,er_measured,er_predicted,ensemble_std,er_cm,delta_lst,delta_tilt,delta_res,sigma_conf,has_cm,cm_approx,gii,gii_norm,tolerance_factor,chi_A,chi_B,d0_per_field,d0_B_fraction,alpha_total,a_off_centering_frac,phase_transition,ordering_proxy,soft_mode_tolerance_weighted,RE_x_chi_A,f_lst
0,Ca0.8Sr0.2SnO3,III,Ca,True,False,8.5,18.425823,0.07615571,17.70044,0.7076992,-0.0016469167,0.01933068,0.38080642,True,False,0.8825181,0.75693655,0.933786945490369,0.99,1.96,0.0,0.0,12.236,0.0,0.0,-0.0,0.0,0.0,0.03998201174660065
1,CaTi0.53Al0.235Nb0.235O3,II,Ca,True,False,49.8,48.21366,0.6974134,21.911745,26.240072,-0.0013025772,0.06314034,0.23383418,True,False,0.47406596,0.4066068,0.9703009004275096,1.0,1.57055,0.06877205861041473,0.765,11.642949999999999,0.0,0.0,1.1301391931832372,0.6510719041868589,0.0,1.1975345642257156
2,CaTi0.5Al0.25Nb0.25O3,II,Ca,True,False,48.0,45.933407,0.74171466,21.548077,24.329098,-0.0014872527,0.057718832,0.23343822,True,False,0.47277692,0.4055012,0.970556082880972,1.0,1.5725000000000002,0.06734803941145333,0.75,11.612499999999999,0.0,0.0,1.1552453009332422,0.6308614538726318,0.0,1.1290612150680546
3,CaTi0.4Al0.3Nb0.3O3,II,Ca,True,False,41.3,39.77038,0.9176016,20.409891,19.318607,-0.0022620244,0.044142574,0.23211697,True,False,0.468464,0.40180197,0.971407661294129,1.0,1.5790000000000002,0.06262427053380876,0.7,11.511,0.0,0.0,1.2098888614946932,0.563416443550595,0.0,0.9465316105803799
4,CaTi0.3Al0.35Nb0.35O3,II,Ca,True,False,36.8,35.044006,1.017365,19.373863,15.638315,-0.0031774875,0.035007752,0.23079333,True,False,0.46412635,0.39808157,0.9722607353913638,1.0,1.5855000000000001,0.05793552626634086,0.6499999999999999,11.4095,0.0,0.0,1.2178525871631725,0.4958529750495956,0.0,0.8071862075209265
5,CaTi0.7Al0.15Nb0.15O3,II,Ca,True,False,65.4,66.03942,1.6426044,24.197956,41.730423,-0.00070154725,0.111751124,0.23607357,True,False,0.48132858,0.41283596,0.9688573974002452,1.0,1.5594999999999999,0.07690223260090356,0.85,11.8155,0.0,0.0,0.8794609344616088,0.7653973439461936,0.0,1.7245433044014131
6,CaTi0.6Al0.2Nb0.2O3,II,Ca,True,False,54.3,54.737343,0.8532227,22.80431,31.852901,-0.0009636908,0.08109357,0.23475716,True,False,0.47706512,0.40917918,0.969705996221792,1.0,1.566,0.07210722681783648,0.8,11.714,0.0,0.0,1.0206609495468077,0.6981883172796902,0.0,1.3967930185127284
7,CaTi0.53Al0.235Nb0.235O3,II,Ca,True,False,48.5,48.266804,0.7742334,21.911745,26.291748,-0.0012946965,0.06460889,0.23383418,True,False,0.47406596,0.4066068,0.9703009004275096,1.0,1.57055,0.06877205861041473,0.765,11.642949999999999,0.0,0.0,1.092467886743796,0.6510719041868589,0.0,1.1998929341319005
8,CaTi0.5Al0.25Nb0.25O3,II,Ca,True,False,48.1,45.953957,0.80157304,21.548077,24.348322,-0.0014790886,0.059037514,0.23343822,True,False,0.47277692,0.4055012,0.970556082880972,1.0,1.5725000000000002,0.06734803941145333,0.75,11.612499999999999,0.0,0.0,1.1167371242354676,0.6308614538726318,0.0,1.129953359643183
9,CaTi0.4Al0.3Nb0.3O3,II,Ca,True,False,41.2,39.71387,0.94259816,20.409891,19.26116,-0.002253347,0.04507337,0.23211697,True,False,0.468464,0.40180197,0.971407661294129,1.0,1.5790000000000002,0.06262427053380876,0.7,11.511,0.0,0.0,1.1695592327782034,0.563416443550595,0.0,0.9437169458670799
