idx,formula,regime,a_site,er_measured,PC1,PC2,PC3,PC4
0,Ca0.8Sr0.2SnO3,III,Ca,8.5,4.017973,0.5354242,-1.9881136,1.5581656
1,CaTi0.53Al0.235Nb0.235O3,II,Ca,49.8,0.80534536,-0.57086104,1.3022181,-0.90317243
2,CaTi0.5Al0.25Nb0.25O3,II,Ca,48.0,1.1506662,-0.65840405,1.1007558,-0.9420317
3,CaTi0.4Al0.3Nb0.3O3,II,Ca,41.3,2.1474228,-0.7761635,0.47696397,-0.97681934
4,CaTi0.3Al0.35Nb0.35O3,II,Ca,36.8,2.9669693,-0.7176448,-0.049722813,-0.91277176
5,CaTi0.7Al0.15Nb0.15O3,II,Ca,65.4,-1.471946,0.47638145,2.158491,-0.31733406
6,CaTi0.6Al0.2Nb0.2O3,II,Ca,54.3,-0.094112396,-0.21930258,1.7579333,-0.7433185
7,CaTi0.53Al0.235Nb0.235O3,II,Ca,48.5,0.8174904,-0.5463178,1.2920502,-0.9005583
8,CaTi0.5Al0.25Nb0.25O3,II,Ca,48.1,1.1681811,-0.6342844,1.088399,-0.93827134
9,CaTi0.4Al0.3Nb0.3O3,II,Ca,41.2,2.178293,-0.7504648,0.45777103,-0.9674191
10,CaTi0.3Al0.35Nb0.35O3,II,Ca,36.4,3.00531,-0.6887584,-0.07384087,-0.896781
11,CaTi0.7Al0.15Nb0.15O3,II,Ca,69.0,-1.5409592,0.559456,2.133803,-0.2962393
12,CaTi0.6Al0.2Nb0.2O3,II,Ca,56.6,-0.09999114,-0.1466248,1.7358297,-0.7368397
13,CaTi0.53Al0.235Nb0.235O3,II,Ca,49.4,0.8537022,-0.4814834,1.2557976,-0.8889843
14,CaTi0.5Al0.25Nb0.25O3,II,Ca,48.0,1.2189991,-0.5700813,1.0458516,-0.92226696
15,CaTi0.4Al0.3Nb0.3O3,II,Ca,41.1,2.265198,-0.6795067,0.3962775,-0.93223804
16,CaTi0.3Al0.35Nb0.35O3,II,Ca,36.4,3.112444,-0.60648805,-0.14860784,-0.8408729
17,Sm0.6Ca0.4Co0.3Ti0.7O3,III,Sm,37.0,1.5820909,-2.805115,-0.5803343,-1.1675116
18,Ca0.6Sr0.4Al0.3Nb0.3Ti0.4O3,Ib,Ca,37.2,-0.36170653,-1.3661705,1.275161,-0.7572905
19,Ca5Nb4TiO17,III,Ca,45.6,0.6302412,4.748989,1.4725531,0.914022
20,Ca4.9Zn0.1Nb4TiO17,III,Ca,40.3,-1.2208827,4.8326426,1.2792401,1.2385415
21,Ca4.8Zn0.2Nb4TiO17,III,Ca,37.9,-1.270731,4.8294578,1.2189572,1.1974576
22,Ca4.7Zn0.3Nb4TiO17,III,Ca,45.8,-1.3163557,4.8431654,1.1463349,1.1567376
23,Ca4.6Zn0.4Nb4TiO17,III,Ca,52.0,-1.3569818,4.8584647,1.0681443,1.1118602
24,CaTi0.6Al0.2Nb0.2O3,II,Ca,55.7,-0.09112746,-0.24686986,1.7634407,-0.7450783
25,CaTi0.7Al0.15Nb0.15O3,II,Ca,67.8,-1.4478585,0.445527,2.1656823,-0.32481983
26,SrLa3Ti2NbO12,III,Sr,41.0,-2.5246575,2.4339852,1.7981824,0.87729824
27,Sr2La2TiNb2O12,III,Sr,39.0,-3.3215044,1.8965716,2.016699,1.1209561
28,Ba2SrLaNb3O12,II,Ba,39.5,-0.8107644,2.4965162,2.5861547,1.4853072
29,Ba.5Sr.5LaNb3O12,Ib,Ba,38.95,0.15430467,3.6210344,2.042769,1.356906
30,BaSr2LaNb3O12,III,Ba,37.1,-2.0338378,1.5610123,2.8174784,1.3092084
31,Sr3LaNb3O12,III,Sr,35.8,-1.7286814,1.8423988,2.535041,1.0384225
32,BaLa0.5Nb0.5O3,III,Ba,45.0,-1.399776,2.9242895,2.0865653,1.3084499
33,BaPr0.5Nb0.5O3,III,Ba,44.5,-0.9316712,2.795874,2.3912735,1.3350605
34,BaNd0.5Nb0.5O3,III,Ba,44.0,-0.4278384,2.5404603,2.1966727,1.1454484
35,BaSm0.5Nb0.5O3,II,Ba,43.0,1.3979177,2.2643232,1.9582009,0.6900722
36,BaEu0.5Nb0.5O3,II,Ba,40.0,1.5194806,2.045495,1.9354404,0.64143103
37,BaGd0.5Nb0.5O3,II,Ba,40.0,1.5457691,1.8854631,1.9154903,0.5990688
38,BaTb0.5Nb0.5O3,II,Ba,39.0,1.1894315,1.4219615,2.3416948,0.6869852
39,Ca5Nb2TiO12,III,Ca,48.0,0.24830982,5.5273576,0.70528936,0.9894992
40,BaDy0.5Nb0.5O3,II,Ba,38.9,1.3098651,1.3379111,2.3255062,0.6684807
41,BaY0.5Nb0.5O3,II,Ba,37.0,1.2669795,1.041739,2.2326546,0.6295852
42,BaYb0.5Nb0.5O3,Ib,Ba,36.0,0.70706475,0.6214092,2.3089204,0.6720981
43,Ba8Ta4Ti3O23.5,Ib,Ba,40.0,-0.42954364,-2.7374244,1.3090628,-0.25286278
44,Ba8Ta4.32Ti2.6O23.54,Ib,Ba,36.0,-0.111614466,-2.7348967,1.1193806,-0.32586423
45,Ba8Ta4.64Ti2.2O23.58,Ib,Ba,44.0,0.20515014,-2.6844711,0.9371954,-0.38351485
46,Ba10Ta7.04Ti.2O29.88,Ib,Ba,35.0,1.1680453,-2.0793488,0.58927757,-0.48649782
47,Ba10Ta7.28Ti0.9O29.91,Ib,Ba,35.0,1.2813852,-2.1759434,0.45858547,-0.5007756
48,Ba10Ta7.52Ti0.6O29.94,Ib,Ba,34.0,1.5542109,-2.0308812,0.28650087,-0.49199954
49,Ba5Ta4O15,Ib,Ba,28.0,2.6729388,-1.6559907,-1.18164,0.38569918
50,Ba5Sr2Ta4ZrO21,Ib,Ba,27.0,0.26430896,0.477425,1.8143691,0.19331665
51,Sr3LaNb3O12,III,Sr,36.0,-1.4893581,2.1615968,2.4508584,1.0849762
52,BaHo0.5Nb0.5O3,II,Ba,38.0,1.364498,1.2968853,2.3184028,0.66441
