idx,formula,a_site,regime,er_measured,pred_original,perm_mean,perm_std,perm_delta
0,Ca0.8Sr0.2SnO3,Ca,III,8.5,18.425823,19.378291778564453,1.812022491868641,0.952468566894531
1,CaTi0.53Al0.235Nb0.235O3,Ca,II,49.8,48.21366,48.304569702148434,6.46921617495451,0.09090850830077812
2,CaTi0.5Al0.25Nb0.25O3,Ca,II,48.0,45.933407,44.00407028198242,6.445656710311032,-1.9293365478515625
3,CaTi0.4Al0.3Nb0.3O3,Ca,II,41.3,39.77038,38.470682067871095,5.534920988557271,-1.2996960449218733
4,CaTi0.3Al0.35Nb0.35O3,Ca,II,36.8,35.044006,34.80268413543701,4.525029263020337,-0.241322212219238
5,CaTi0.7Al0.15Nb0.15O3,Ca,II,65.4,66.03942,62.555509643554686,10.001219748691998,-3.483911437988283
6,CaTi0.6Al0.2Nb0.2O3,Ca,II,54.3,54.737343,53.5510041809082,7.347869318518765,-1.1863386535644551
7,CaTi0.53Al0.235Nb0.235O3,Ca,II,48.5,48.266804,46.356450119018554,7.0860914781401565,-1.9103536224365243
8,CaTi0.5Al0.25Nb0.25O3,Ca,II,48.1,45.953957,45.26231559753418,6.55353109049297,-0.6916410064697232
9,CaTi0.4Al0.3Nb0.3O3,Ca,II,41.2,39.71387,39.292047576904295,5.414409011935723,-0.42182342529297046
10,CaTi0.3Al0.35Nb0.35O3,Ca,II,36.4,34.944263,34.23611625671387,4.674858394847071,-0.7081472015380825
11,CaTi0.7Al0.15Nb0.15O3,Ca,II,69.0,66.80379,62.617966918945314,11.186359022217934,-4.185820312499999
12,CaTi0.6Al0.2Nb0.2O3,Ca,II,56.6,55.123066,51.68982711791992,9.165996457574115,-3.4332388305664097
13,CaTi0.53Al0.235Nb0.235O3,Ca,II,49.4,48.374016,47.86428253173828,7.035011695234156,-0.5097332763671858
14,CaTi0.5Al0.25Nb0.25O3,Ca,II,48.0,45.96589,44.57270935058594,7.146833235979161,-1.3931796264648426
15,CaTi0.4Al0.3Nb0.3O3,Ca,II,41.1,39.499073,40.12879470825195,5.02615616661877,0.6297216796874991
16,CaTi0.3Al0.35Nb0.35O3,Ca,II,36.4,34.6034,34.94280952453613,4.952270496407264,0.3394083404540993
17,Sm0.6Ca0.4Co0.3Ti0.7O3,Other,III,37.0,36.104156,34.0593355178833,1.8862124561107276,-2.044820976257327
18,Ca0.6Sr0.4Al0.3Nb0.3Ti0.4O3,Ca,Ib,37.2,37.792976,48.676846237182616,6.257252970697994,10.883869857788085
19,Ca5Nb4TiO17,Ca,III,45.6,37.05191,37.051910400390625,0.0,0.0
20,Ca4.9Zn0.1Nb4TiO17,Ca,III,40.3,44.450775,44.450775146484375,0.0,0.0
21,Ca4.8Zn0.2Nb4TiO17,Ca,III,37.9,44.048428,44.04842758178711,0.0,0.0
22,Ca4.7Zn0.3Nb4TiO17,Ca,III,45.8,43.748714,43.748714447021484,0.0,0.0
23,Ca4.6Zn0.4Nb4TiO17,Ca,III,52.0,43.48935,43.489349365234375,0.0,0.0
24,CaTi0.6Al0.2Nb0.2O3,Ca,II,55.7,54.589134,52.742795867919924,7.582116807575003,-1.8463383483886702
25,CaTi0.7Al0.15Nb0.15O3,Ca,II,67.8,65.767136,64.02583564758301,8.900976443174,-1.7412999725341791
26,SrLa3Ti2NbO12,Sr,III,41.0,43.067047,43.067047119140625,0.0,0.0
27,Sr2La2TiNb2O12,Sr,III,39.0,40.875904,40.87590408325195,0.0,0.0
28,Ba2SrLaNb3O12,Ba,II,39.5,41.546608,41.546607971191406,0.0,0.0
29,Ba.5Sr.5LaNb3O12,Other,Ib,38.95,37.53063,37.5306282043457,0.0,0.0
30,BaSr2LaNb3O12,Sr,III,37.1,36.658295,36.658294677734375,0.0,0.0
31,Sr3LaNb3O12,Sr,III,35.8,36.590313,36.59031295776367,0.0,0.0
32,BaLa0.5Nb0.5O3,Ba,III,45.0,44.30557,43.798661346435544,1.2627144967962853,-0.5069073486328151
33,BaPr0.5Nb0.5O3,Ba,III,44.5,43.21682,42.40273040771484,1.3190819891493528,-0.8140893554687523
34,BaNd0.5Nb0.5O3,Ba,III,44.0,41.635216,40.40667518615723,1.4368094292627167,-1.2285405731201138
35,BaSm0.5Nb0.5O3,Ba,II,43.0,40.138355,39.73533271789551,0.863707246900263,-0.4030225372314433
36,BaEu0.5Nb0.5O3,Ba,II,40.0,38.919624,38.57187713623047,1.0485585843251057,-0.34774719238281193
