scatter0_x,scatter0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y,line4_x,line4_y,band5_x,band5_lo,band5_hi
8.5,17.70044,49.8,21.911745,37.2,22.903906,22.0,18.004278,0.0,0.0,0.0,0.0,0.0
37.0,24.86803,48.0,21.548077,36.0,14.227498,38.7,19.154928,150.0,150.0,150.0,135.0,165.0
45.0,14.323596,41.3,20.409891,40.0,27.197948,39.6,19.154928,,,,,
44.5,14.143694,36.8,19.373863,36.0,27.009779,34.4,18.950201,,,,,
44.0,13.811662,65.4,24.197956,44.0,26.816463,40.0,19.154928,,,,,
45.3,24.109007,54.3,22.80431,35.0,25.920134,36.6,18.950201,,,,,
44.7,23.908289,48.5,21.911745,35.0,26.91737,29.4,19.154928,,,,,
44.1,23.77012,48.1,21.548077,34.0,26.778732,34.2,19.154928,,,,,
43.6,23.498144,41.2,20.409891,28.0,26.495808,35.1,19.154928,,,,,
62.97,21.870686,36.4,19.373863,38.0,19.79774,38.7,19.154928,,,,,
34.0,24.027462,69.0,24.197956,42.0,25.428335,39.6,19.154928,,,,,
30.97,11.842252,56.6,22.80431,40.0,25.603855,40.0,19.154928,,,,,
38.66,11.842252,49.4,21.911745,52.0,13.565022,38.3,19.154928,,,,,
27.75,11.842252,48.0,21.548077,39.0,12.737082,24.1,19.295958,,,,,
33.01,11.842252,41.1,20.409891,41.4,19.72983,23.2,16.541523,,,,,
27.0,22.47137,36.4,19.373863,40.1,19.769308,19.3,18.161812,,,,,
29.32,23.710814,55.7,22.80431,38.2,19.781626,18.1,19.140003,,,,,
49.21,15.057605,67.8,24.197956,35.8,19.807785,29.1,17.992693,,,,,
54.31,20.533365,43.0,13.953447,33.9,19.847576,19.0,17.992693,,,,,
44.24,18.804413,40.0,13.880859,44.4,32.38309,23.0,17.412909,,,,,
100.1,25.010122,40.0,13.855624,26.0,21.64729,23.4,18.004278,,,,,
105.1,25.189201,39.0,13.997077,29.0,25.419237,16.7,16.033232,,,,,
97.6,24.067898,38.9,13.9698305,33.0,26.520525,24.0,16.865803,,,,,
89.4,23.595482,37.0,13.844435,34.0,27.698055,21.0,15.395089,,,,,
103.0,24.869036,38.0,14.089469,39.0,28.959879,20.0,17.80093,,,,,
70.6,23.123892,65.4,25.77965,46.0,33.350582,22.5,17.424479,,,,,
72.0,26.674992,52.2,24.728025,33.7,19.314522,20.0,16.033232,,,,,
95.5,23.79144,52.3,24.728025,34.0,19.839872,20.0,16.415087,,,,,
129.0,40.669636,52.4,24.728025,30.2,26.495808,20.0,15.495,,,,,
127.0,37.87026,52.0,24.728025,32.9,27.272642,37.0,21.044508,,,,,
101.0,29.48495,46.6,24.133062,34.3,28.067324,24.0,16.865803,,,,,
73.0,27.89008,46.7,24.133062,35.2,28.877607,24.2,19.295958,,,,,
112.0,38.626938,46.8,24.133062,33.2,29.700645,23.0,17.412909,,,,,
132.0,30.585117,46.5,24.133062,31.7,24.641758,23.4,18.004278,,,,,
121.3,24.76059,41.4,23.750372,34.2,23.014235,17.0,16.033232,,,,,
110.4,23.702488,65.7,25.77965,37.2,21.57411,17.1,19.140003,,,,,
116.0,24.155798,41.5,23.750372,42.0,20.290783,18.1,19.140003,,,,,
117.0,24.599836,43.5,24.230476,32.4,20.063452,19.0,17.992693,,,,,
58.85,24.56027,41.5,24.615978,29.3,27.882917,20.8,25.608948,,,,,
112.6,24.964159,49.4,24.682264,50.8,22.405773,21.0,15.395089,,,,,
60.2,22.255766,45.2,24.84513,39.5,20.386436,19.3,18.161812,,,,,
118.0,29.307636,45.2,24.478294,34.9,28.606384,20.0,16.15762,,,,,
132.6,23.71439,47.5,24.154959,46.2,24.341005,20.0,15.758648,,,,,
136.4,24.944027,46.5,23.899342,29.5,24.269247,34.4,18.963825,,,,,
142.0,26.180655,65.6,25.77965,29.6,24.269247,28.1,17.992693,,,,,
128.2,26.230076,41.1,30.835848,28.4,24.269247,29.1,19.295958,,,,,
123.0,25.59106,39.7,23.470377,30.2,24.269247,31.4,17.992693,,,,,
121.3,24.954298,22.74,18.457018,29.1,24.380663,,,,,,,
117.0,25.45565,25.84,19.567703,30.4,24.380663,,,,,,,
110.0,28.82089,29.38,20.766563,33.7,25.39764,,,,,,,
94.0,28.115042,32.85,22.063604,31.2,18.161348,,,,,,,
74.0,25.953053,50.21,25.00027,31.5,18.161348,,,,,,,
119.0,26.830305,65.5,25.77965,31.0,18.161348,,,,,,,
107.0,25.7299,69.2,26.668907,31.5,31.78795,,,,,,,
98.0,24.842567,43.7,33.20294,32.0,19.556099,,,,,,,
98.0,23.731665,68.4,26.785053,35.5,19.781626,,,,,,,
141.0,27.435171,43.5,30.532917,34.5,19.820686,,,,,,,
117.0,26.047281,34.3,25.723738,32.0,19.859848,,,,,,,
108.0,24.842567,38.2,23.815638,46.2,22.012074,,,,,,,
100.0,23.878206,45.2,22.153278,86.0,25.36738,,,,,,,
99.0,23.11236,71.9,19.827782,66.0,23.983229,,,,,,,
98.0,22.502321,67.6,19.806843,47.0,22.73626,,,,,,,
102.0,21.965588,66.9,19.737913,47.44,44.94734,,,,,,,
94.0,21.599232,108.5,30.60699,123.0,28.280195,,,,,,,
82.0,21.229612,94.3,29.192327,143.0,30.864079,,,,,,,
93.0,24.567299,81.2,27.882694,136.0,29.684729,,,,,,,
119.0,26.876205,67.2,26.666893,45.0,32.38309,,,,,,,
101.0,24.893936,71.86,19.940372,44.0,39.327515,,,,,,,
94.5,23.400555,100.1,30.60699,44.6,21.00094,,,,,,,
112.96,25.7299,86.8,27.882694,46.1,21.415588,,,,,,,
103.35,24.842567,70.1,26.666893,38.15,13.330146,,,,,,,
100.08,24.045795,126.7,32.32845,49.1,32.38309,,,,,,,
114.0,24.201586,90.6,30.774385,42.0,19.760029,,,,,,,
130.5,25.673141,86.3,29.341125,41.1,15.456768,,,,,,,
45.0,26.801079,82.5,28.015194,41.4,15.456768,,,,,,,
43.0,25.374802,68.7,26.785053,42.3,15.456768,,,,,,,
47.25,19.349237,128.4,32.32845,42.1,15.456768,,,,,,,
45.0,25.306007,97.1,30.774385,46.8,32.54798,,,,,,,
41.56,18.291035,89.2,29.341125,45.7,32.71247,,,,,,,
42.0,19.520027,85.3,28.015194,47.7,32.084854,,,,,,,
25.4,19.82641,96.5,29.192327,33.4,21.268236,,,,,,,
41.1,15.401169,62.6,19.716803,36.6,22.446556,,,,,,,
42.2,15.401169,60.7,19.654562,40.4,23.755257,,,,,,,
43.3,15.401169,57.7,19.639772,46.6,25.217237,,,,,,,
43.1,15.401169,53.9,19.515041,71.2,25.590311,,,,,,,
42.3,29.568813,44.9,19.358976,25.4,23.917797,,,,,,,
28.7,20.562836,70.4,19.827782,22.9,23.159508,,,,,,,
33.6,21.39584,68.0,19.806843,21.2,22.446934,,,,,,,
39.4,22.255766,66.7,19.737913,22.1,21.776068,,,,,,,
50.0,13.999476,65.3,19.716803,26.4,21.143354,,,,,,,
117.0,22.049404,60.8,19.654562,33.0,18.935621,,,,,,,
60.0,23.073256,53.1,19.515041,31.4,19.980074,,,,,,,
51.0,19.622442,46.3,19.358976,24.9,16.892199,,,,,,,
58.9,20.243002,54.4,19.639772,26.3,17.482574,,,,,,,
43.9,18.700014,73.0,19.940372,25.1,19.344637,,,,,,,
52.3,17.596064,67.9,37.79555,34.2,21.772594,,,,,,,
28.0,15.697104,79.6,37.79555,29.8,24.25816,,,,,,,
48.0,18.700014,84.0,37.79555,18.0,22.461136,,,,,,,
45.1,22.734596,83.9,37.79555,32.0,18.218687,,,,,,,
47.8,23.187603,135.0,38.752563,25.0,22.024988,,,,,,,
59.9,24.251675,62.0,33.828712,41.0,19.72401,,,,,,,
73.1,25.361927,140.4,31.971777,30.0,24.237602,,,,,,,
95.0,26.578526,102.8,29.04625,39.0,26.388067,,,,,,,
121.7,27.984966,95.0,28.514288,24.0,22.021837,,,,,,,
36.0,17.337528,90.6,27.998205,24.4,21.866,,,,,,,
109.0,25.118963,88.9,27.745897,24.3,21.715952,,,,,,,
68.0,21.870686,81.0,26.538467,24.0,21.567951,,,,,,,
54.0,19.349237,138.0,31.577717,29.8,26.513424,,,,,,,
