scatter0_x,scatter0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,line3_x,line3_y,band4_x,band4_lo,band4_hi
43.5,39.98851,45.6,37.05191,46.2,40.67746,0.0,0.0,0.0,0.0,0.0
34.3,40.494614,48.0,37.467678,49.4,43.781796,145.0,145.0,145.0,130.5,159.5
38.2,42.987133,38.0,37.296345,54.9,42.311543,,,,,
45.2,49.750526,45.3,47.20302,25.1,38.391014,,,,,
44.0,45.148796,46.0,39.58573,31.0,46.72455,,,,,
34.9,39.168556,43.0,40.103462,43.0,46.715218,,,,,
34.3,39.247833,40.0,39.058186,37.0,30.00005,,,,,
33.2,39.325085,38.0,37.60357,49.4,43.550186,,,,,
34.5,37.96333,58.85,51.386177,25.1,38.44729,,,,,
33.0,36.791862,119.0,118.56636,34.0,40.46939,,,,,
40.0,38.782627,107.0,112.52335,35.7,36.35043,,,,,
27.5,21.698063,98.0,106.65071,28.0,33.036644,,,,,
20.69,33.140873,141.0,121.04042,,,,,,,
19.96,31.975946,117.0,114.46061,,,,,,,
23.31,31.215464,108.0,106.65071,,,,,,,
21.55,30.708752,100.0,100.45786,,,,,,,
22.0,25.64954,99.0,95.919556,,,,,,,
43.7,42.953922,98.0,92.21831,,,,,,,
37.2,36.93726,102.0,86.62566,,,,,,,
42.0,41.27618,94.0,83.04742,,,,,,,
40.0,49.238377,82.0,78.2658,,,,,,,
122.0,125.49353,93.0,104.82051,,,,,,,
22.3,30.807495,112.96,112.60176,,,,,,,
20.8,24.999714,103.35,106.733505,,,,,,,
20.7,35.916805,100.08,101.52028,,,,,,,
20.0,31.626835,45.0,41.38031,,,,,,,
33.2,39.31841,42.0,27.370243,,,,,,,
36.2,38.314987,24.5,24.275274,,,,,,,
27.5,22.0251,29.6,23.325426,,,,,,,
28.0,30.534184,20.76,20.68501,,,,,,,
,,18.6,20.58067,,,,,,,
,,34.0,45.011555,,,,,,,
,,36.0,46.51523,,,,,,,
,,17.0,12.264424,,,,,,,
,,20.35,20.082336,,,,,,,
,,21.1,19.889471,,,,,,,
,,20.9,19.618038,,,,,,,
,,17.0,34.57849,,,,,,,
,,22.6,21.26384,,,,,,,
,,21.9,21.217093,,,,,,,
,,22.6,21.783733,,,,,,,
,,22.88,19.527973,,,,,,,
,,20.96,19.437366,,,,,,,
,,22.06,19.98595,,,,,,,
,,20.0,19.869503,,,,,,,
,,20.0,18.248789,,,,,,,
,,28.0,22.8633,,,,,,,
,,22.15,22.52589,,,,,,,
,,32.0,44.13131,,,,,,,
,,34.0,44.91452,,,,,,,
,,44.0,42.99068,,,,,,,
,,45.0,42.974876,,,,,,,
,,42.0,27.130566,,,,,,,
,,101.0,77.18196,,,,,,,
,,99.0,97.52934,,,,,,,
,,103.0,108.253075,,,,,,,
,,108.0,107.0342,,,,,,,
,,141.0,119.311035,,,,,,,
,,141.0,113.82666,,,,,,,
,,119.0,120.37221,,,,,,,
,,52.3,52.415264,,,,,,,
,,58.0,54.115456,,,,,,,
,,24.0,24.20015,,,,,,,
,,24.4,22.71043,,,,,,,
,,22.6,25.910503,,,,,,,
,,22.6,25.435247,,,,,,,
,,22.1,24.251211,,,,,,,
,,22.0,36.213585,,,,,,,
,,20.8,23.219858,,,,,,,
,,21.0,39.352116,,,,,,,
,,20.0,22.64732,,,,,,,
,,20.0,21.344831,,,,,,,
,,34.0,37.65497,,,,,,,
,,32.0,36.887127,,,,,,,
