line0_x,line0_y,line1_x,line1_y,line2_x,line2_y,scatter3_x,scatter3_y,ref_line_value,ref_line_label
1,157.33755493164062,1,155.03659057617188,1,130.35028076171875,50.0,146.70327758789062,140.1,curated optimum (140)
2,166.2965850830078,2,160.63478088378906,2,130.35028076171875,,,,
3,166.88699340820312,3,161.00955200195312,3,130.35028076171875,,,,
4,166.88699340820312,4,163.0219268798828,4,133.27134704589844,,,,
5,166.88699340820312,5,163.0219268798828,5,139.55870056152344,,,,
6,167.1245880126953,6,164.23196411132812,6,140.40829467773438,,,,
7,167.56256103515625,7,164.23196411132812,7,141.5245361328125,,,,
8,169.4246826171875,8,164.23196411132812,8,141.5245361328125,,,,
9,170.0786590576172,9,164.24105834960938,9,144.72579956054688,,,,
10,170.0786590576172,10,164.67599487304688,10,145.57205200195312,,,,
11,170.0786590576172,11,164.753173828125,11,145.66160583496094,,,,
12,170.0786590576172,12,165.15171813964844,12,146.09921264648438,,,,
13,170.0786590576172,13,165.15171813964844,13,146.09921264648438,,,,
14,170.0786590576172,14,165.62567138671875,14,146.44091796875,,,,
15,170.0786590576172,15,165.62567138671875,15,146.44091796875,,,,
16,170.25045776367188,16,165.62567138671875,16,146.44091796875,,,,
17,170.25045776367188,17,165.62567138671875,17,146.44091796875,,,,
18,170.25045776367188,18,165.6360321044922,18,146.49050903320312,,,,
19,170.3648681640625,19,165.73504638671875,19,146.49050903320312,,,,
20,170.3648681640625,20,165.73504638671875,20,146.4906768798828,,,,
21,170.3648681640625,21,165.73504638671875,21,146.48805236816406,,,,
22,170.3648681640625,22,165.7371368408203,22,146.4839630126953,,,,
23,170.3648681640625,23,165.90232849121094,23,146.4855499267578,,,,
24,170.3648681640625,24,165.90232849121094,24,146.4855499267578,,,,
25,170.3648681640625,25,165.90232849121094,25,146.48574829101562,,,,
26,170.3648681640625,26,165.90232849121094,26,146.48574829101562,,,,
27,170.3648681640625,27,165.90232849121094,27,146.48745727539062,,,,
28,170.3648681640625,28,165.90232849121094,28,146.48745727539062,,,,
29,170.3648681640625,29,165.9107666015625,29,146.48745727539062,,,,
30,170.3648681640625,30,165.91152954101562,30,146.48745727539062,,,,
31,170.3648681640625,31,165.9193878173828,31,146.48745727539062,,,,
32,170.3648681640625,32,165.9193878173828,32,146.49143981933594,,,,
33,170.38128662109375,33,165.92105102539062,33,146.49143981933594,,,,
34,170.38128662109375,34,165.92105102539062,34,146.4855499267578,,,,
35,170.38128662109375,35,165.92105102539062,35,146.48435974121094,,,,
36,170.38128662109375,36,165.92105102539062,36,146.48435974121094,,,,
37,170.3899383544922,37,165.92105102539062,37,146.48385620117188,,,,
38,170.4171600341797,38,165.92105102539062,38,146.4833221435547,,,,
39,170.4171600341797,39,165.92105102539062,39,146.4833221435547,,,,
40,170.41749572753906,40,165.92105102539062,40,146.61361694335938,,,,
41,170.41749572753906,41,165.95480346679688,41,146.6836395263672,,,,
42,170.41749572753906,42,165.92007446289062,42,146.6836395263672,,,,
43,170.41749572753906,43,165.92007446289062,43,146.6836395263672,,,,
44,170.4171600341797,44,165.92007446289062,44,146.6836395263672,,,,
45,170.4120330810547,45,165.92007446289062,45,146.6836395263672,,,,
46,170.46466064453125,46,165.91998291015625,46,146.68911743164062,,,,
47,170.49057006835938,47,165.91998291015625,47,146.6836395263672,,,,
48,170.4408721923828,48,165.96070861816406,48,146.7013397216797,,,,
49,170.4408721923828,49,165.96070861816406,49,146.7047119140625,,,,
50,170.4408721923828,50,165.9616241455078,50,146.7047119140625,,,,
