feature,branch
alpha_A,LST
alpha_B,LST
alpha_total,LST
ab_pol_diff,LST
a_pc,LST
molar_mass,LST
d0_B_polarizable_A,LST
d0_B_fraction,LST
polarizable_A_fraction,LST
soft_mode_proxy,LST
regime_Ia,LST
regime_Ib,LST
regime_II,LST
regime_III,LST
b_field_strength,LST
a_field_strength,LST
d0_per_field,LST
weighted_SOJT,LST
b_avg_atomic_mass,LST
b_o_reduced_mass,LST
soft_mode_activity,LST
lst_enhancement_proxy,LST
phase_boundary_dist_ib_ii,LST
phase_boundary_dist_ii_iii,LST
phase_boundary_min_dist,LST
phase_boundary_instability,LST
soft_mode_tolerance_weighted,LST
er_CM,LST
has_sigma_CM,LST
sigma_CM,LST
tolerance_factor,Tilt
octahedral_factor,Tilt
tilt_severity,Tilt
tol_sq_dev,Tilt
symmetry_score,Tilt
octahedral_volume,Tilt
b_size_mismatch,Tilt
chi_A,Tilt
chi_B,Tilt
delta_chi_A,Tilt
delta_chi_B,Tilt
covalency_index,Tilt
covalency_ratio,Tilt
phillips_covalency_bo,Tilt
phillips_ionicity_bo,Tilt
r_A_avg,Tilt
r_B_avg,Tilt
r_A_r_B_ratio,Tilt
r_cov,Tilt
b_site_ratio,Tilt
continuous_tilt_strain,Tilt
charge_imbalance_proxy,Tilt
regime_boundary_crossing,Tilt
bvs_strain_proxy,Tilt
bond_angle_variance_proxy,Tilt
a_site_variance,Tilt
GII,Tilt
BVVS,Tilt
tBV,Tilt
Di,Tilt
density_calc,Residual
a_config_entropy,Residual
b_config_entropy,Residual
a_off_centering_frac,Residual
num_cations,Residual
is_Ba,Residual
is_Ca,Residual
is_Sr,Residual
is_RE,Residual
T_sint_x_r_cov,Residual
ST_norm_melt,Residual
Ba_x_T_sint_r_cov,Residual
Ca_x_tol_factor,Residual
RE_x_chi_A,Residual
Sr_x_alpha_B,Residual
additive_pct,Residual
has_additive,Residual
n_A_elements,Residual
n_B_elements,Residual
ptype_simple,Residual
ptype_double,Residual
ptype_complex_b,Residual
ptype_re_b_site,Residual
cs_cubic,Residual
cs_tetragonal,Residual
cs_orthorhombic,Residual
cs_rhombohedral,Residual
cs_monoclinic,Residual
cs_hexagonal,Residual
cs_trigonal,Residual
cs_perovskite,Residual
o_per_cation,Residual
b_per_a,Residual
ordering_proxy,Residual
cm_approx_flag,Residual
T_calc_x_r_cov,Residual
ST_time,Residual
ST_time_missing,Residual
phase_transition,Residual
ST_time_x_phase,Residual
d10_B_fraction,Residual
RE_B_fraction,Residual
has_d10_B,Residual
