y,width,label
19,4.979653122689242,er_CM
18,3.205329710032169,soft_mode_tolerance_weighted
17,3.148270381692655,weighted_SOJT
16,2.7589939682141624,a_off_centering_frac
15,2.639740855819996,regime_III
14,2.5343228593440803,a_field_strength
13,2.3879662352305373,alpha_B
12,2.141714088046764,lst_enhancement_proxy
11,2.103801099092915,soft_mode_activity
10,1.9922483552068468,has_cm
9,1.7855362340478975,b_avg_atomic_mass
8,1.6939323477835153,regime_II
7,1.659691202071046,sigma_CM
6,1.5898486681942403,chi_A
5,1.5027687556331957,d0_B_fraction
4,1.452703058316807,delta_chi_A
3,1.3277673990969672,d0_B_polarizable_A
2,1.2095330284980805,phase_boundary_dist_ib_ii
1,1.1964964312946074,covalency_ratio
0,1.1380818133965984,b_field_strength
