y,width,label,ref_line_value,ref_line_label
0,80.27263728425821,Y  ($n$=10),95.9928422983009,mean = 96.0%
1,89.16378127680774,Ho  ($n$=15),,
2,93.20212257722974,Zr  ($n$=44),,
3,94.22917465883846,Zn  ($n$=104),,
4,94.97962913492377,Sr  ($n$=492),,
5,95.0849713133039,Co  ($n$=75),,
6,95.68458532553088,Er  ($n$=12),,
7,95.82102156775856,Al  ($n$=365),,
8,95.86586672710538,Yb  ($n$=30),,
9,96.37403784569155,Mg  ($n$=920),,
10,96.98781461314209,Ni  ($n$=39),,
11,97.33570558219287,La  ($n$=1157),,
12,98.1327152559802,Sm  ($n$=390),,
13,98.25570273792835,Li  ($n$=229),,
14,98.35655159592565,Nd  ($n$=304),,
15,98.67738562140966,Ti  ($n$=512),,
16,98.7259502518256,Pr  ($n$=10),,
17,98.73348362213056,Ba  ($n$=44),,
18,98.91221053543092,Ca  ($n$=1148),,
