bar0_x,bar0_height,bar1_x,bar1_height,bar2_x,bar2_height,bar3_x,bar3_height,ref_line_value,ref_line_label
0.0,0,0.0,0,0.0,0,0.0,0,37.0,
6.0,0,6.0,0,6.0,0,6.0,2,,
12.0,4,12.0,28,12.0,2,12.0,12,,
18.0,33,18.0,24,18.0,23,18.0,82,,
24.0,9,24.0,74,24.0,11,24.0,98,,
30.0,5,30.0,92,30.0,24,30.0,83,,
36.0,9,36.0,43,36.0,54,36.0,65,,
42.0,0,42.0,51,42.0,61,42.0,55,,
48.0,0,48.0,13,48.0,39,48.0,26,,
54.0,0,54.0,4,54.0,16,54.0,18,,
60.0,0,60.0,7,60.0,19,60.0,9,,
66.0,0,66.0,4,66.0,23,66.0,4,,
72.0,0,72.0,2,72.0,3,72.0,7,,
78.0,0,78.0,1,78.0,9,78.0,1,,
84.0,0,84.0,2,84.0,16,84.0,2,,
90.0,0,90.0,0,90.0,9,90.0,12,,
96.0,0,96.0,0,96.0,5,96.0,16,,
102.0,0,102.0,1,102.0,2,102.0,9,,
108.0,0,108.0,0,108.0,4,108.0,14,,
114.0,0,114.0,0,114.0,1,114.0,16,,
120.0,0,120.0,1,120.0,1,120.0,7,,
126.0,0,126.0,0,126.0,4,126.0,5,,
132.0,0,132.0,4,132.0,1,132.0,6,,
138.0,0,138.0,3,138.0,4,138.0,10,,
144.0,0,144.0,0,144.0,0,144.0,0,,
