x,y
4.017973,0.5354242
0.80534536,-0.57086104
1.1506662,-0.65840405
2.1474228,-0.7761635
2.9669693,-0.7176448
-1.471946,0.47638145
-0.094112396,-0.21930258
0.8174904,-0.5463178
1.1681811,-0.6342844
2.178293,-0.7504648
3.00531,-0.6887584
-1.5409592,0.559456
-0.09999114,-0.1466248
0.8537022,-0.4814834
1.2189991,-0.5700813
2.265198,-0.6795067
3.112444,-0.60648805
1.5820909,-2.805115
-0.36170653,-1.3661705
0.6302412,4.748989
-1.2208827,4.8326426
-1.270731,4.8294578
-1.3163557,4.8431654
-1.3569818,4.8584647
-0.09112746,-0.24686986
-1.4478585,0.445527
-2.5246575,2.4339852
-3.3215044,1.8965716
-0.8107644,2.4965162
0.15430467,3.6210344
-2.0338378,1.5610123
-1.7286814,1.8423988
-1.399776,2.9242895
-0.9316712,2.795874
-0.4278384,2.5404603
1.3979177,2.2643232
1.5194806,2.045495
1.5457691,1.8854631
1.1894315,1.4219615
0.24830982,5.5273576
1.3098651,1.3379111
1.2669795,1.041739
0.70706475,0.6214092
-0.42954364,-2.7374244
-0.111614466,-2.7348967
0.20515014,-2.6844711
1.1680453,-2.0793488
1.2813852,-2.1759434
1.5542109,-2.0308812
2.6729388,-1.6559907
0.26430896,0.477425
-1.4893581,2.1615968
1.364498,1.2968853
1.9521478,5.0103464
-1.161959,0.20445335
0.8634874,-0.41092137
0.8272009,-0.4502295
0.7320083,-0.5467238
0.6315804,-0.64023423
1.7261671,-0.6235523
1.7004249,-0.66906744
1.6294951,-0.7817842
1.5496242,-0.89249814
2.2289753,-0.6837199
-1.0391097,0.25426307
2.1504688,-0.8484255
2.2806938,-1.3063782
1.377912,-1.7790587
1.9557469,-0.24694988
-0.08579522,-1.1647733
0.69438374,-1.7239746
0.9910191,-1.7062927
0.91252166,-0.82741314
1.0521334,-0.7708803
1.3169425,-0.65049213
2.4857538,-0.07935518
2.7211378,0.010250849
-1.7718136,2.080139
-0.91050845,0.30657172
1.6984608,-3.5340397
-1.7256548,-1.6865934
0.22604018,-1.4032748
0.10106038,-1.2455337
-3.1247852,-0.7811711
-1.917963,-0.4367406
2.3846478,-1.0728174
4.087622,-1.6963916
3.7971041,-1.8774823
3.890297,-1.3979048
3.4239283,-1.5721351
1.047882,-0.83949095
-0.8577957,0.32818377
-1.220484,0.26984438
-0.7367179,4.679314
0.09689575,4.6727195
-0.19823334,4.627196
1.9634721,5.0324197
-1.1549475,-1.0524384
-1.2158865,-1.7072766
-1.190003,-2.1157084
-1.0997741,-2.404811
-0.96561027,-2.5427964
0.5095994,-4.1041446
1.170937,-3.983122
-2.0177143,0.9725636
-2.7254024,1.6828322
0.84181225,6.340766
4.0974026,-1.273861
2.6704419,-1.5203222
1.2201967,-2.9837356
0.86025745,-3.2083495
0.4845539,-3.4420736
-0.35016105,-3.6113567
-1.8435746,-4.074112
-1.1011907,-2.657405
-1.606015,-2.882539
1.828021,-2.5703523
2.7343762,-0.9475612
2.1845772,-1.1893474
1.7856191,-1.5237432
0.43348548,-3.1866877
0.32232794,-3.5816472
1.9127,-1.9982724
2.1506736,-1.8277001
1.4143927,-1.7806722
0.7881243,-1.142512
0.0060963533,0.65506613
1.2857782,-2.2856526
0.95184785,-1.8107355
2.9243124,2.627636
2.9243124,2.627636
2.959877,2.706484
2.9243124,2.627636
0.7700854,-2.0810988
1.4701426,-2.5518737
-2.053499,-0.21223219
0.056438196,-1.6533352
0.5804226,-2.990987
-0.17160963,-3.0495846
0.8840168,-3.15696
2.7561467,-1.616153
2.69713,-1.7467731
2.8312438,-1.4225906
3.9292755,-2.4357455
0.38963225,-0.32538792
3.2526162,-2.9042315
-0.49361244,1.8177459
0.17125982,1.2809507
-0.33926255,0.98952836
2.1964204,-1.9414164
2.1964204,-1.9414164
0.27125537,-2.6407208
1.0043027,-1.9929506
0.9870931,-2.1136055
1.0043027,-1.9929506
-1.9879574,-5.2619147
0.3797925,-1.5437006
-0.1249116,2.11727
-1.3922362,2.8493721
-1.2203834,2.6463199
-1.0340487,2.3960295
-3.9474068,4.960005
-0.90770584,0.6565189
-2.305145,3.0915883
-1.9808915,4.3584003
-1.1056634,3.99147
-4.359238,6.6803503
-2.7153764,7.341078
-1.0923649,7.1397605
0.8350069,5.9985123
-1.0998037,2.9997568
-4.430317,6.653088
-1.1655202,7.159544
0.76626474,6.0097957
-8.855459,2.2154665
-3.7376845,6.8563027
-2.3671606,7.5029583
-0.8555459,7.332245
0.9085088,6.314477
-8.86618,2.2075193
-3.8006773,6.8442016
-2.4280772,7.5066075
-0.9244416,7.3611073
-2.782315,7.333837
-0.5006652,-2.0864477
-0.6573847,-3.226934
3.0969243,-1.3442535
-0.7871964,1.8242807
-0.5716426,1.5381352
-0.36150172,1.23686
-0.18861099,0.25243625
0.80214566,-0.59519666
3.0979671,-1.3344487
3.3199437,-1.5183982
-1.3928937,2.8440654
-1.2203834,2.6463199
-1.034584,2.3871918
-0.7871964,1.8242807
0.5348904,-2.0797698
-0.5716426,1.5381352
-0.18861099,0.25243625
0.7999507,-0.57592434
3.0979671,-1.3344487
3.3199437,-1.5183982
3.0996835,-1.3150584
3.0996835,-1.3150584
3.0988882,-1.3247173
3.0988882,-1.3247173
3.0979671,-1.3344487
3.0979671,-1.3344487
3.0969243,-1.3442535
-0.36150172,1.23686
-0.96201044,-0.56394285
-0.6464825,1.0279669
1.0743613,1.3103837
-9.506073,-0.5013437
-9.583673,-0.48971486
-7.9563866,0.6234238
-7.670652,-0.7058433
-9.190359,0.07301804
-4.5593524,1.0877676
-1.0387571,4.8058577
-1.8674375,1.9793719
-6.6068816,0.070655644
0.20941798,6.0802565
0.15752526,6.0989304
0.10423463,6.11535
0.049756885,6.1293545
-9.600065,-1.0539117
-9.037089,-0.6678838
-9.856022,-1.4129304
-8.368009,-1.8796023
-5.742191,-2.1696017
-9.739543,-0.9365997
-9.868161,-0.36512792
-9.28803,-0.5141677
-9.797361,-2.4964883
-9.396516,-0.5588117
-9.870645,-1.0593904
-1.1088074,3.3605418
-0.5202548,-1.4929063
-9.985847,-1.141064
0.5425274,2.6004262
2.8525681,4.6429625
-10.017868,1.2089393
-4.052034,7.3618407
-3.3134208,7.6107244
-2.618394,7.694302
-2.2857785,7.6653767
-1.1526726,5.708822
-8.934166,0.7055998
-9.998827,1.450334
-2.893654,7.648899
-2.193728,7.5609803
-1.8427811,7.434944
-0.616928,5.351476
-9.957316,-2.7293253
-9.628837,-0.49340138
-9.901585,-1.7841637
-9.890341,-1.7355595
-9.859597,-1.1971468
-9.579291,-0.41663858
-9.916306,-2.041979
-3.6402504,7.5242434
-8.136416,1.3959317
-6.7363095,2.328135
-1.9078153,3.8822174
-0.47487003,-2.2710538
1.7712395,-0.78908134
-7.9729233,0.3401393
-6.219842,0.22738248
-3.2319393,-0.9079194
-2.6151953,2.2239707
-0.21931213,-5.4846635
1.4331316,0.52307713
2.8525681,4.6429625
-9.6939535,-2.7395403
-9.141141,-2.1517065
-2.3314567,1.8051358
-8.482612,-1.4337326
-7.7681413,0.28215912
-9.870782,-2.9228454
-9.332381,-2.357238
-8.482612,-1.4337326
-7.6065707,-0.48582485
-6.860099,-0.06755627
-6.1398034,0.5730846
-4.939266,0.80682063
-4.3490667,1.1334593
-3.6238282,1.4260026
-8.246557,-1.1751369
-0.21787976,3.9067473
-2.3386223,1.8306556
-2.3455713,1.8556992
-9.622076,-2.6141562
-7.769219,-0.8347294
-6.7823873,-0.16807914
-9.151724,-2.1319373
-8.490563,-1.4167542
-7.769086,-0.6410292
-9.658315,-0.82538515
-9.804929,-1.7984664
-7.2689633,-1.0653913
-2.3421237,1.843238
-9.473731,-2.9223955
-10.084766,-3.727005
0.54237396,-2.358992
1.7831753,-1.7532394
-2.3489666,1.8680453
-9.868431,-3.445719
0.5278444,1.1980989
-0.77887464,4.072013
-1.1495192,3.8690264
-3.5573475,3.641829
-6.3608046,2.0048993
-7.3879514,1.8137871
-1.8701898,4.1759377
-4.088637,3.5971174
-4.9763017,3.4530659
-2.4452646,2.0593052
-2.4452646,2.0593052
-1.8594368,1.9544342
0.26717314,-3.7303567
0.33183783,-5.01943
-1.1519417,2.3903427
-0.38007784,1.6493322
0.023926964,1.3701582
0.46908826,1.0973774
-0.86849385,0.39038292
-0.6717718,0.32860017
