scatter0_x,scatter0_y,scatter1_x,scatter1_y,scatter2_x,scatter2_y,scatter3_x,scatter3_y,scatter4_x,scatter4_y,scatter5_x,scatter5_y
0.84181225,6.340766,-0.8107644,2.4965162,-2.5246575,2.4339852,4.017973,0.5354242,4.0974026,-1.273861,1.5820909,-2.805115
-4.359238,6.6803503,0.15430467,3.6210344,-3.3215044,1.8965716,0.80534536,-0.57086104,2.6704419,-1.5203222,2.9243124,2.627636
-2.7153764,7.341078,-2.0338378,1.5610123,-1.7286814,1.8423988,1.1506662,-0.65840405,1.2201967,-2.9837356,2.9243124,2.627636
-1.0923649,7.1397605,-1.399776,2.9242895,-1.4893581,2.1615968,2.1474228,-0.7761635,0.86025745,-3.2083495,2.959877,2.706484
0.8350069,5.9985123,-0.9316712,2.795874,1.170937,-3.983122,2.9669693,-0.7176448,0.4845539,-3.4420736,2.9243124,2.627636
-4.430317,6.653088,-0.4278384,2.5404603,1.9127,-1.9982724,-1.471946,0.47638145,-0.35016105,-3.6113567,3.9292755,-2.4357455
-1.1655202,7.159544,1.3979177,2.2643232,1.2857782,-2.2856526,-0.094112396,-0.21930258,-1.8435746,-4.074112,3.2526162,-2.9042315
0.76626474,6.0097957,1.5194806,2.045495,0.95184785,-1.8107355,0.8174904,-0.5463178,1.828021,-2.5703523,1.7831753,-1.7532394
-8.855459,2.2154665,1.5457691,1.8854631,-0.17160963,-3.0495846,1.1681811,-0.6342844,-1.3922362,2.8493721,0.39668852,3.3422801
-3.7376845,6.8563027,1.1894315,1.4219615,0.38963225,-0.32538792,2.178293,-0.7504648,-1.2203834,2.6463199,-0.33616027,3.6276622
-2.3671606,7.5029583,1.3098651,1.3379111,-0.33926255,0.98952836,3.00531,-0.6887584,-1.0340487,2.3960295,-10.082469,-0.9435352
-0.8555459,7.332245,1.2669795,1.041739,0.27125537,-2.6407208,-1.5409592,0.559456,3.0969243,-1.3442535,4.3966703,2.7535017
0.9085088,6.314477,0.70706475,0.6214092,-1.1088074,3.3605418,-0.09999114,-0.1466248,-0.7871964,1.8242807,4.5529995,-0.21773611
-8.86618,2.2075193,-0.42954364,-2.7374244,1.4331316,0.52307713,0.8537022,-0.4814834,-0.5716426,1.5381352,3.7122567,-1.2989533
-3.8006773,6.8442016,-0.111614466,-2.7348967,-0.21787976,3.9067473,1.2189991,-0.5700813,-0.36150172,1.23686,4.064418,-1.3965381
